LAT.,LONG.,Event,Transmit T,GPS Time
-20.4246,-51.733033,End of movement,2021/12/01 12:59,2021/12/01 12:59
-21.106799,-52.269532,Engine start,2021/12/22 17:31,2021/12/22 17:31
-21.106966,-52.269299,End of movement,2021/12/22 17:38,2021/12/22 17:38
-20.424633,-51.733033,Engine start,2021/12/01 13:04,2021/12/01 13:04
-20.426099,-51.733733,Travel Dispatch,2021/12/01 13:12,2021/12/01 13:12
-21.107032,-52.269299,Daily Data,2021/12/23 1:22,2021/12/23 1:22
-21.118533,-52.279466,Travel Dispatch,2021/12/23 19:51,2021/12/23 19:51
-21.117666,-52.278932,Travel Dispatch,2021/12/23 19:54,2021/12/23 19:54
-21.1165,-52.278433,Engine stop,2021/12/23 20:01,2021/12/23 20:01
-21.019199,-52.480233,Engine start,2021/11/02 12:24,2021/11/02 12:24
-21.019133,-52.4802,End of movement,2021/11/02 12:29,2021/11/02 12:29
-21.019966,-52.480467,Engine start,2021/11/02 13:14,2021/11/02 13:14
-21.020066,-52.480399,Engine start,2021/11/02 13:23,2021/11/02 13:23
-20.426233,-51.733733,End of movement,2021/12/01 13:22,2021/12/01 13:22
-20.415599,-51.733266,Travel Dispatch,2021/12/01 14:03,2021/12/01 14:03
-21.021332,-52.4807,End of movement,2021/11/02 13:24,2021/11/02 13:24
-21.019833,-52.480433,End of movement,2021/11/02 13:31,2021/11/02 13:31
-20.425533,-51.7334,Engine start,2021/12/01 14:07,2021/12/01 14:07
-20.425533,-51.7334,End of movement,2021/12/01 14:09,2021/12/01 14:09
-20.415566,-51.733266,End of movement,2021/12/01 14:13,2021/12/01 14:13
-20.4157,-51.7332,Engine stop,2021/12/01 14:42,2021/12/01 14:42
-20.4251,-51.7332,Travel Dispatch,2021/12/01 14:58,2021/12/01 14:58
-20.423466,-51.7327,End of movement,2021/12/01 15:08,2021/12/01 15:08
-20.414466,-51.732799,Travel Dispatch,2021/12/01 15:37,2021/12/01 15:37
-20.4145,-51.732766,End of movement,2021/12/01 15:47,2021/12/01 15:47
-20.424633,-51.733066,Engine start,2021/12/01 15:55,2021/12/01 15:55
-20.424899,-51.733133,End of movement,2021/12/01 16:03,2021/12/01 16:03
-20.414532,-51.732632,Travel Dispatch,2021/12/01 16:29,2021/12/01 16:29
-20.415,-51.732266,End of movement,2021/12/01 16:39,2021/12/01 16:39
-20.414933,-51.732433,Engine stop,2021/12/01 16:40,2021/12/01 16:40
-20.415599,-51.726332,Travel Dispatch,2021/12/01 19:03,2021/12/01 19:03
-20.416133,-51.726566,End of movement,2021/12/01 19:13,2021/12/01 19:13
-20.416533,-51.7282,Travel Dispatch,2021/12/01 20:00,2021/12/01 20:00
-20.415999,-51.728099,Engine stop,2021/12/01 20:07,2021/12/01 20:07
-20.4159,-51.728099,End of movement,2021/12/01 20:10,2021/12/01 20:10
-20.412333,-51.723166,Travel Dispatch,2021/12/01 20:21,2021/12/01 20:21
-20.413499,-51.723666,Travel Dispatch,2021/12/01 20:29,2021/12/01 20:29
