LAT.,LONG.,Transmit T,GPS Time
-3.491233,103.518066,2022/01/06 1:50,2022/01/06 1:41
-3.827199,103.9127,2021/04/03 10:17,2021/04/03 10:17
-3.409766,103.630766,2022/01/06 1:26,2022/01/06 1:17
-3.483966,103.529099,2022/01/06 1:25,2022/01/06 1:16
-3.485299,103.528599,2022/01/06 1:25,2022/01/06 1:16
-3.490732,103.5132,2022/01/06 1:25,2022/01/06 1:16
-3.4907,103.5151,2022/01/06 1:22,2022/01/06 1:13
-3.484167,103.529799,2022/01/06 1:07,2022/01/06 0:58
-3.491233,103.518166,2022/01/06 1:02,2022/01/06 0:53
-3.409699,103.630766,2022/01/06 1:02,2022/01/06 0:53
-3.491133,103.5183,2022/01/05 1:48,2022/01/05 1:39
-3.484033,103.529033,2022/01/05 1:46,2022/01/05 1:37
-3.854266,103.900033,2021/04/03 10:32,2021/04/03 10:32
-3.483733,103.529099,2022/01/05 1:30,2022/01/05 1:21
-3.409766,103.6308,2022/01/05 1:27,2022/01/05 1:18
-3.490666,103.514833,2022/01/05 1:16,2022/01/05 1:16
-3.490666,103.514867,2022/01/05 1:16,2022/01/05 1:16
-3.484233,103.528866,2022/01/05 1:17,2022/01/05 1:08
-3.409867,103.630766,2022/01/05 1:04,2022/01/05 0:55
-3.491199,103.5182,2022/01/05 1:01,2022/01/05 0:52
-3.482799,103.5294,2022/01/04 1:50,2022/01/04 1:41
-3.490999,103.518366,2022/01/04 1:46,2022/01/04 1:37
-3.868066,103.890033,2021/04/03 10:41,2021/04/03 10:41
-3.490732,103.514833,2022/01/04 1:22,2022/01/04 1:13
-3.482899,103.529299,2022/01/04 1:22,2022/01/04 1:13
-3.490633,103.514833,2022/01/04 1:22,2022/01/04 1:13
-3.482733,103.529333,2022/01/04 1:17,2022/01/04 1:08
-3.409867,103.6307,2022/01/04 1:27,2022/01/04 1:08
-3.869899,103.886699,2021/04/03 11:06,2021/04/03 11:06
-3.408266,103.630166,2022/01/04 1:00,2022/01/04 1:00
-3.491133,103.518266,2022/01/04 1:04,2022/01/04 0:44
-3.491466,103.521599,2022/01/03 8:42,2022/01/03 8:42
-3.4832,103.529333,2022/01/03 7:33,2022/01/03 7:33
-3.483066,103.529333,2022/01/03 1:51,2022/01/03 1:42
-3.409799,103.6307,2022/01/03 1:51,2022/01/03 1:42
-3.497133,103.5194,2022/01/03 1:40,2022/01/03 1:40
-3.497166,103.5194,2022/01/03 1:47,2022/01/03 1:38
-3.8302,103.912632,2021/05/05 13:42,2021/05/05 13:42
-3.482999,103.529266,2022/01/03 1:25,2022/01/03 1:16
-3.409799,103.6307,2022/01/03 1:25,2022/01/03 1:16
-3.483166,103.529266,2022/01/03 1:21,2022/01/03 1:12
-3.490732,103.514933,2022/01/03 1:16,2022/01/03 1:07
-3.4907,103.514966,2022/01/03 1:15,2022/01/03 1:06
-3.861432,103.8945,2021/05/05 18:24,2021/05/05 18:24
-3.409733,103.630732,2022/01/02 23:46,2022/01/02 23:37
-3.497133,103.519433,2022/01/02 23:45,2022/01/02 23:36
-3.4971,103.519433,2022/01/02 23:44,2022/01/02 23:35
-3.483099,103.529299,2022/01/02 23:43,2022/01/02 23:34
-3.862066,103.896566,2021/05/06 1:11,2021/05/06 1:02
-3.482967,103.529333,2022/01/02 23:19,2022/01/02 23:19
-3.4832,103.529333,2022/01/02 23:13,2022/01/02 23:12
-3.490732,103.514966,2022/01/02 23:20,2022/01/02 23:11
-3.490732,103.514966,2022/01/02 23:18,2022/01/02 23:09
-3.409766,103.630732,2022/01/02 23:17,2022/01/02 23:08
-3.862066,103.896599,2021/05/06 7:52,2021/05/06 7:52
-3.483966,103.528866,2022/01/02 18:22,2022/01/02 18:22
-3.4851,103.518499,2022/01/02 12:47,2022/01/02 12:47
-3.482199,103.525866,2022/01/02 8:04,2022/01/02 8:04
-3.494633,103.521366,2022/01/02 7:48,2022/01/02 7:48
-3.488633,103.5158,2022/01/02 1:50,2022/01/02 1:41
-3.494466,103.521432,2022/01/02 1:47,2022/01/02 1:38
-3.409867,103.6307,2022/01/02 1:47,2022/01/02 1:38
-3.4957,103.520866,2022/01/02 1:46,2022/01/02 1:37
-3.861866,103.894167,2021/05/07 1:10,2021/05/07 1:01
-3.482266,103.529167,2022/01/02 1:19,2022/01/02 1:18
-3.409766,103.630766,2022/01/02 1:25,2022/01/02 1:16
-3.488966,103.515766,2022/01/02 1:21,2022/01/02 1:12
-3.490933,103.5151,2022/01/02 1:20,2022/01/02 1:11
-3.4889,103.5158,2022/01/02 1:20,2022/01/02 1:01
-3.827,103.912799,2021/05/07 11:29,2021/05/07 11:29
-3.482133,103.526566,2022/01/01 14:52,2022/01/01 14:52
-3.493133,103.5201,2022/01/01 8:33,2022/01/01 8:33
-3.494167,103.5215,2022/01/01 7:13,2022/01/01 7:13
-3.495633,103.521466,2022/01/01 1:49,2022/01/01 1:40
-3.409833,103.630732,2022/01/01 1:49,2022/01/01 1:40
-3.488932,103.5159,2022/01/01 1:44,2022/01/01 1:35
-3.494099,103.521432,2022/01/01 1:43,2022/01/01 1:34
-3.861766,103.8945,2021/05/07 11:47,2021/05/07 11:47
-3.486233,103.517166,2022/01/01 1:25,2022/01/01 1:16
-3.409766,103.630766,2022/01/01 1:19,2022/01/01 1:10
-3.4889,103.515833,2022/01/01 1:17,2022/01/01 1:08
-3.488966,103.515866,2022/01/01 1:16,2022/01/01 1:07
-3.488932,103.5159,2022/01/01 1:15,2022/01/01 1:06
-3.858733,103.895299,2021/05/07 14:35,2021/05/07 14:35
-3.417066,103.627899,2021/12/31 15:17,2021/12/31 15:17
-3.502266,103.515666,2021/12/31 13:07,2021/12/31 13:07
-3.493232,103.520599,2021/12/31 8:25,2021/12/31 8:25
-3.4083,103.630166,2021/12/31 1:45,2021/12/31 1:36
-3.495399,103.521599,2021/12/31 1:42,2021/12/31 1:33
-3.488932,103.5159,2021/12/31 1:42,2021/12/31 1:33
-3.861833,103.894133,2021/05/08 1:18,2021/05/08 1:09
-3.497166,103.519433,2021/12/31 1:39,2021/12/31 1:30
-3.409833,103.6307,2021/12/31 1:15,2021/12/31 1:14
-3.485666,103.5176,2021/12/31 1:19,2021/12/31 1:10
-3.489033,103.515833,2021/12/31 1:18,2021/12/31 1:09
-3.488832,103.515966,2021/12/31 1:14,2021/12/31 1:05
-3.4909,103.5151,2021/12/31 1:14,2021/12/31 1:05
-3.861766,103.894167,2021/05/08 1:43,2021/05/08 1:34
-3.409766,103.630766,2021/12/30 1:48,2021/12/30 1:39
-3.497166,103.519466,2021/12/30 1:44,2021/12/30 1:35
-3.489,103.515866,2021/12/30 1:43,2021/12/30 1:34
-3.497133,103.5194,2021/12/30 1:36,2021/12/30 1:27
-3.861766,103.894099,2021/05/08 7:48,2021/05/08 7:48
-3.409833,103.630732,2021/12/30 1:21,2021/12/30 1:12
-3.485666,103.5176,2021/12/30 1:16,2021/12/30 1:06
-3.488866,103.5159,2021/12/30 1:11,2021/12/30 1:02
-3.488832,103.515966,2021/12/30 1:10,2021/12/30 1:01
-3.861833,103.894133,2021/05/09 1:18,2021/05/09 1:09
-3.485666,103.517666,2021/12/30 1:16,2021/12/30 0:37
-3.502233,103.5184,2021/12/29 10:27,2021/12/29 10:27
-3.502266,103.518366,2021/12/29 10:26,2021/12/29 10:26
-3.491067,103.518232,2021/12/29 1:43,2021/12/29 1:34
-3.488832,103.515933,2021/12/29 1:41,2021/12/29 1:32
-3.409733,103.630766,2021/12/29 1:41,2021/12/29 1:32
-3.491166,103.518066,2021/12/29 1:40,2021/12/29 1:31
-3.409833,103.630766,2021/12/29 1:36,2021/12/29 1:27
-3.861766,103.894133,2021/05/09 1:44,2021/05/09 1:35
-3.4857,103.5176,2021/12/29 1:22,2021/12/29 1:13
-3.409766,103.630766,2021/12/29 1:13,2021/12/29 1:12
-3.488866,103.515833,2021/12/29 1:15,2021/12/29 1:06
-3.4865,103.5171,2021/12/29 1:10,2021/12/29 1:01
-3.864566,103.885866,2021/05/09 15:28,2021/05/09 15:28
-3.488832,103.515966,2021/12/29 1:09,2021/12/29 0:50
-3.492032,103.517967,2021/12/28 13:23,2021/12/28 13:23
-3.491933,103.517967,2021/12/28 13:23,2021/12/28 13:23
-3.489167,103.515766,2021/12/28 1:45,2021/12/28 1:36
-3.409833,103.630766,2021/12/28 1:44,2021/12/28 1:35
-3.502632,103.513133,2021/12/28 1:42,2021/12/28 1:33
-3.864433,103.885933,2021/05/09 23:02,2021/05/09 16:03
-3.409799,103.6308,2021/12/28 1:36,2021/12/28 1:27
-3.502632,103.513133,2021/12/28 1:34,2021/12/28 1:25
-3.485732,103.517566,2021/12/28 1:21,2021/12/28 1:12
-3.489033,103.515866,2021/12/28 1:16,2021/12/28 1:07
-3.409766,103.6308,2021/12/28 1:14,2021/12/28 1:05
-3.489,103.515933,2021/12/28 1:12,2021/12/28 1:03
-3.864433,103.885933,2021/05/10 1:06,2021/05/09 16:03
-3.485666,103.5176,2021/12/28 1:11,2021/12/28 0:42
-3.8607,103.894799,2021/05/09 23:19,2021/05/09 23:10
-3.487666,103.5163,2021/12/27 1:36,2021/12/27 1:35
-3.503366,103.517367,2021/12/27 1:40,2021/12/27 1:31
-3.409833,103.630766,2021/12/27 1:39,2021/12/27 1:30
-3.860666,103.894833,2021/05/09 23:41,2021/05/09 23:32
-3.409766,103.6308,2021/12/27 1:35,2021/12/27 1:27
-3.503466,103.517367,2021/12/27 1:41,2021/12/27 1:22
-3.409733,103.630766,2021/12/27 1:17,2021/12/27 1:09
-3.486133,103.517199,2021/12/27 1:07,2021/12/27 1:07
-3.488966,103.5159,2021/12/27 1:07,2021/12/27 1:06
-3.485766,103.517466,2021/12/27 1:13,2021/12/27 1:04
-3.489733,103.515399,2021/12/27 1:11,2021/12/27 1:03
-3.860666,103.894766,2021/05/10 1:13,2021/05/10 0:54
-3.409833,103.630732,2021/12/26 23:45,2021/12/26 23:36
-3.503366,103.517367,2021/12/26 23:40,2021/12/26 23:31
-3.487666,103.5163,2021/12/26 23:40,2021/12/26 23:31
-3.503466,103.517399,2021/12/26 23:39,2021/12/26 23:30
-3.409766,103.630766,2021/12/26 23:34,2021/12/26 23:26
-3.8607,103.894833,2021/05/10 1:44,2021/05/10 1:35
-3.409733,103.630732,2021/12/26 23:10,2021/12/26 23:10
-3.488966,103.515866,2021/12/26 23:14,2021/12/26 23:05
-3.486133,103.517199,2021/12/26 23:06,2021/12/26 23:05
-3.489733,103.515433,2021/12/26 23:08,2021/12/26 23:00
-3.485732,103.517533,2021/12/26 23:13,2021/12/26 22:54
-3.864099,103.8944,2021/05/11 1:10,2021/05/11 0:51
-3.489666,103.515499,2021/12/26 1:40,2021/12/26 1:31
-3.503266,103.517399,2021/12/26 1:39,2021/12/26 1:30
-3.503433,103.517433,2021/12/26 1:39,2021/12/26 1:30
-3.409833,103.630766,2021/12/26 1:38,2021/12/26 1:29
-3.409799,103.630766,2021/12/26 1:36,2021/12/26 1:27
-3.860933,103.894766,2021/05/11 1:19,2021/05/11 1:10
-3.409766,103.630766,2021/12/26 1:18,2021/12/26 1:09
-3.488666,103.515999,2021/12/26 1:12,2021/12/26 1:03
-3.485732,103.5176,2021/12/26 1:12,2021/12/26 1:03
-3.488599,103.516067,2021/12/26 1:11,2021/12/26 1:02
-3.485633,103.517533,2021/12/26 1:12,2021/12/26 0:53
-3.860433,103.894833,2021/05/11 1:40,2021/05/11 1:31
-3.827199,103.9127,2021/05/11 12:17,2021/05/11 12:17
-3.497266,103.512266,2021/12/25 1:40,2021/12/25 1:31
-3.409766,103.630766,2021/12/25 1:37,2021/12/25 1:28
-3.489666,103.515533,2021/12/25 1:36,2021/12/25 1:27
-3.409733,103.630766,2021/12/25 1:34,2021/12/25 1:25
-3.497299,103.512233,2021/12/25 1:34,2021/12/25 1:25
-3.8645,103.894133,2021/05/11 12:38,2021/05/11 12:38
-3.409833,103.630766,2021/12/25 1:16,2021/12/25 1:07
-3.4857,103.517533,2021/12/25 1:13,2021/12/25 1:04
-3.489933,103.515599,2021/12/25 1:13,2021/12/25 1:04
-3.489299,103.515966,2021/12/25 1:09,2021/12/25 1:00
-3.489867,103.515333,2021/12/25 1:05,2021/12/25 0:55
-3.864466,103.893966,2021/05/11 13:01,2021/05/11 13:01
-3.497233,103.512533,2021/12/24 1:41,2021/12/24 1:32
-3.409766,103.630732,2021/12/24 1:37,2021/12/24 1:28
-3.489699,103.515533,2021/12/24 1:33,2021/12/24 1:24
-3.409699,103.6307,2021/12/24 1:29,2021/12/24 1:20
-3.863599,103.883066,2021/05/11 13:33,2021/05/11 13:33
-3.497266,103.512433,2021/12/24 1:32,2021/12/24 1:03
-3.4857,103.5176,2021/12/24 1:11,2021/12/24 1:02
-3.489233,103.516033,2021/12/24 1:09,2021/12/24 1:00
-3.489066,103.516133,2021/12/24 1:08,2021/12/24 0:59
-3.489466,103.515533,2021/12/24 1:06,2021/12/24 0:57
-3.409799,103.6307,2021/12/24 1:10,2021/12/24 0:51
-3.409799,103.630732,2021/12/23 8:49,2021/12/23 8:49
-3.864666,103.8882,2021/05/12 1:14,2021/05/12 0:55
-3.497299,103.512133,2021/12/23 1:34,2021/12/23 1:33
-3.409799,103.6307,2021/12/23 1:40,2021/12/23 1:31
-3.497299,103.512367,2021/12/23 1:36,2021/12/23 1:27
-3.4901,103.515132,2021/12/23 1:36,2021/12/23 1:27
-3.409766,103.630732,2021/12/23 1:26,2021/12/23 1:17
-3.864167,103.8944,2021/05/12 1:05,2021/05/12 0:56
-3.489699,103.515433,2021/12/23 1:11,2021/12/23 1:02
-3.489099,103.516133,2021/12/23 1:11,2021/12/23 1:02
-3.486533,103.517166,2021/12/23 1:11,2021/12/23 1:02
-3.409733,103.630732,2021/12/23 1:08,2021/12/23 0:59
-3.485,103.516533,2021/12/23 16:30,2021/12/22 13:56
-3.4132,103.627433,2021/12/22 12:34,2021/12/22 12:34
-3.860399,103.894899,2021/05/12 1:18,2021/05/12 1:09
-3.408066,103.630266,2021/12/22 9:04,2021/12/22 9:04
-3.8602,103.894899,2021/05/12 1:42,2021/05/12 1:33
-3.489299,103.516067,2021/12/22 1:31,2021/12/22 1:31
-3.497266,103.512133,2021/12/22 1:36,2021/12/22 1:27
-3.409799,103.630766,2021/12/22 1:36,2021/12/22 1:27
-3.864633,103.888232,2021/05/12 8:13,2021/05/12 8:13
-3.497266,103.512266,2021/12/22 1:31,2021/12/22 1:12
-3.489199,103.515999,2021/12/22 1:05,2021/12/22 0:56
-3.485666,103.5176,2021/12/22 1:15,2021/12/22 0:56
-3.409766,103.6308,2021/12/22 1:12,2021/12/22 0:53
-3.489299,103.515999,2021/12/22 1:02,2021/12/22 0:53
-3.486633,103.517399,2021/12/22 1:02,2021/12/22 0:53
-3.409799,103.630732,2021/12/21 7:40,2021/12/21 7:40
-3.864566,103.894266,2021/05/12 8:33,2021/05/12 8:33
-3.487533,103.516633,2021/12/21 1:38,2021/12/21 1:29
-3.497299,103.512333,2021/12/21 1:33,2021/12/21 1:24
-3.864733,103.887032,2021/05/13 1:13,2021/05/12 10:01
-3.497066,103.5121,2021/12/21 1:31,2021/12/21 1:12
-3.486166,103.517266,2021/12/21 1:14,2021/12/21 1:05
-3.489532,103.515732,2021/12/21 1:07,2021/12/21 0:58
-3.4895,103.515833,2021/12/21 1:05,2021/12/21 0:56
-3.486667,103.517433,2021/12/21 1:05,2021/12/21 0:56
-3.409766,103.6308,2021/12/21 1:13,2021/12/21 0:54
-3.409833,103.6308,2021/12/21 1:33,2021/12/21 0:54
-3.411667,103.629633,2021/12/20 18:29,2021/12/20 18:29
-3.408066,103.630333,2021/12/20 16:03,2021/12/20 16:03
-3.408033,103.630299,2021/12/20 16:02,2021/12/20 16:02
-3.408033,103.630333,2021/12/20 13:16,2021/12/20 13:16
-3.864733,103.887032,2021/05/14 1:14,2021/05/12 10:01
-3.864733,103.887032,2021/05/15 1:08,2021/05/12 10:01
-3.497299,103.512133,2021/12/20 1:36,2021/12/20 1:27
-3.497066,103.512166,2021/12/20 1:31,2021/12/20 1:22
-3.864733,103.887032,2021/05/16 1:15,2021/05/12 10:01
-3.488599,103.516067,2021/12/20 1:29,2021/12/20 1:00
-3.486199,103.517266,2021/12/20 1:07,2021/12/20 0:58
-3.488599,103.515999,2021/12/20 1:06,2021/12/20 0:57
-3.486633,103.517399,2021/12/20 1:05,2021/12/20 0:56
-3.489766,103.515467,2021/12/20 1:02,2021/12/20 0:53
-3.488599,103.516033,2021/12/19 23:53,2021/12/19 23:44
-3.486633,103.517433,2021/12/19 23:50,2021/12/19 23:41
-3.489766,103.515399,2021/12/19 23:49,2021/12/19 23:40
-3.864733,103.887032,2021/05/16 23:13,2021/05/12 10:01
-3.497266,103.512133,2021/12/19 23:33,2021/12/19 23:24
-3.488567,103.516033,2021/12/19 23:33,2021/12/19 23:24
-3.497032,103.512199,2021/12/19 23:27,2021/12/19 23:18
-3.864733,103.887032,2021/05/17 1:18,2021/05/12 10:01
-3.486199,103.517233,2021/12/19 23:11,2021/12/19 23:02
-3.864733,103.887032,2021/05/18 1:13,2021/05/12 10:01
-3.864733,103.887032,2021/05/19 1:12,2021/05/12 10:01
-3.864733,103.887032,2021/05/20 1:18,2021/05/12 10:01
-3.495533,103.512,2021/12/19 14:15,2021/12/19 14:15
-3.485533,103.5164,2021/12/19 14:10,2021/12/19 14:10
-3.488666,103.516067,2021/12/19 1:50,2021/12/19 1:41
-3.486933,103.517333,2021/12/19 1:47,2021/12/19 1:38
-3.864733,103.887032,2021/05/21 1:21,2021/05/12 10:01
-3.864733,103.887032,2021/05/22 1:17,2021/05/12 10:01
-3.497367,103.512166,2021/12/19 1:38,2021/12/19 1:29
-3.4915,103.515066,2021/12/19 1:30,2021/12/19 1:21
